boq_name,brand,category,color,config,countries,default_image,dimensions,height,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,lwhd_metric,product_color_dynamic,sku_id,sku_name,space_tag,specifications,status,sub_category,template_id,template_name,theme,type,unit,width,images,light_temperature_dynamic,diameter,model_3d,diffuser_type_dynamic,length1,t_metric,thickness,color_temperature_dynamic,model_no_dynamic,default_image_mobile,Selling Price
RECESSED FLEXI CURVI-LINEAR LIGHT,RIPPL,LIGHTING,,Curvi,IN,https://s3-dms-prod.flipspaces.app/57229b82-5563-464e-810b-0348022eab1d,56mm (W) x 26mm (H),26,94054200,a683d042-dfcb-4642-80c8-5fe1d4d3a578,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-620444,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Recessed Light Curvi RIPPL RECESSED FLEXI CURVI-LINEAR LIGHT 56mm (W) x 26mm (H),,"Wattage : 15/18/20/24 W
 
 Beam Angle : Wide
 
 CRI >80/90
 
 CCT 3000/4000/5700
 
 Controls : Switchable,Analog, DALI
 
 Lumen Maintenance(L70/B10) : 60,000 hrs
 
 Operating Temperature : 0 - 45°C
 
 Appliance Class : Class I
 
 Ingress Protection : IP20
 
 Ceiling Recessed Light",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Recessed Light,RFT,56,,,,,,,,,,,,
RECESSED RIGID CURVI-LINEAR LIGHT,RIPPL,LIGHTING,,Curvi,IN,https://s3-dms-prod.flipspaces.app/e464fc22-7cb2-40cc-933b-05550c5f6f2a,37mm (W) x 35mm (H),35,94054200,752d072a-100b-4d2c-a764-fba2582036f1,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-413918,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Recessed Light Curvi RIPPL RECESSED RIGID CURVI-LINEAR LIGHT 37mm (W) x 35mm (H),,"Wattage : 15/18/20/24 W
 
 Beam Angle : Wide
 
 CRI >80/90
 
 CCT 3000/4000/5700
 
 Controls : Switchable,Analog, DALI
 
 Lumen Maintenance(L70/B10) : 60,000 hrs
 
 Operating Temperature : 0 - 45°C
 
 Appliance Class : Class I
 
 Ingress Protection : IP20
 
 Ceiling Recessed Light",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Recessed Light,RFT,37,,,,,,,,,,,,
SUSPENDED CURVI-LINEAR LIGHT,RIPPL,LIGHTING,,Curvi,IN,https://s3-dms-prod.flipspaces.app/c4d2cad3-30dd-4f67-bd32-f5e5508ceef9,40mm (W) x 45mm (H),45,94054200,a9aee364-ccec-4bb4-8be4-f1168691ea80,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-969003,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Suspended Light Curvi RIPPL SUSPENDED CURVI-LINEAR LIGHT 40mm (W) x 45mm (H),,"Wattage : 22/25 W
 
 Beam Angle : Wide
 
 CRI >80/90
 
 CCT 3000/4000/5700
 
 Controls : Switchable,Analog, DALI
 
 Lumen Maintenance(L70/B10) : 60,000 hrs
 
 Operating Temperature : 0 - 45°C
 
 Appliance Class : Class I
 
 Ingress Protection : IP20
 
 Ceiling Suspended Light
 
 Light Type: Direct Lighting, Direct-Indirect Lighting",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Suspended Light,RFT,40,"https://s3-dms-prod.flipspaces.app/4c8c2a9e-c821-43f6-b5f0-5d7c852dbf18,https://s3-dms-prod.flipspaces.app/cd597dc1-283d-4b0b-aa28-bcd646335765",,,,,,,,,,,
SUSPENDED CURVI-LINEAR LIGHT,RIPPL,LIGHTING,,Curvi,IN,https://s3-dms-prod.flipspaces.app/c4d2cad3-30dd-4f67-bd32-f5e5508ceef9,50mm (W) x 80mm (H),80,94054200,1fce23a9-4a8c-4c47-bd17-c14f26f1489d,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-443947,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Suspended Light Curvi RIPPL SUSPENDED CURVI-LINEAR LIGHT 50mm (W) x 80mm (H),,"Wattage : 22/25 W
 
 Beam Angle : Wide
 
 CRI >80/90
 
 CCT 3000/4000/5700
 
 Controls : Switchable,Analog, DALI
 
 Lumen Maintenance(L70/B10) : 60,000 hrs
 
 Operating Temperature : 0 - 45°C
 
 Appliance Class : Class I
 
 Ingress Protection : IP20
 
 Ceiling Suspended Light
 
 Light Type: Direct Lighting, Direct-Indirect Lighting",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Suspended Light,RFT,50,"https://s3-dms-prod.flipspaces.app/99d8f2e2-ad89-4576-8654-dfdfbec1267b,https://s3-dms-prod.flipspaces.app/cd597dc1-283d-4b0b-aa28-bcd646335765",,,,,,,,,,,
AXIS SMOOTH CURVI-LINEAR LIGHT 20W,Clove,LIGHTING,,Linear,IN,https://s3-dms-prod.flipspaces.app/dcdee144-22ea-4ca2-9726-0c3b14c37195,50mm (W) x 77mm (H),77,94054200,c31c17f9-50a9-4e0c-9e28-ff65fd19f9f8,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-216333,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Suspended Light Linear Clove AXIS SMOOTH CURVI-LINEAR LIGHT 20W 50mm (W) x 77mm (H),,"Construction Details: White powder coated aluminum housing
 
 
 Power: 
 
  20W/mtr with Inbuilt driver
 
 
 Total Flux: 2000 Lm/mtr
 
 
 Standard Radiuses: 300, 450, 600, 750, 900, 1200, 1500, 1800, 2100, 2400, 2700, 3000
 
 
 
 
 Delivery Lead Time : 
 
 3-5 weeks
 
 
 Exclusive of Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Suspended Light,RFT,50,"https://s3-dms-prod.flipspaces.app/8016cc5b-5c9e-4fdc-a95c-90ae5a8d6dd7,https://s3-dms-prod.flipspaces.app/8a022cba-55bb-4c8b-90b3-b7c90022c76d",KELVIN,,,,,,,,,,2300
AXIS SMOOTH CURVI-LINEAR LIGHT 30W,Clove,LIGHTING,,Linear,IN,https://s3-dms-prod.flipspaces.app/dcdee144-22ea-4ca2-9726-0c3b14c37195,50mm (W) x 77mm (H),77,94054200,73e5073d-a515-48b3-ba20-3b9b7d246f14,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-682813,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Ceiling Suspended Light Linear Clove AXIS SMOOTH CURVI-LINEAR LIGHT 30W 50mm (W) x 77mm (H),,"Construction Details: White powder coated aluminum housing
 
 
 Power: 
 
  30W/mtr with Inbuilt driver
 
 
 Total Flux: 3000 Lm/mtr
 
 
 Standard Radiuses: 300, 450, 600, 750, 900, 1200, 1500, 1800, 2100, 2400, 2700, 3000
 
 
 
 
 Delivery Lead Time : 
 
 3-5 weeks
 
 
 Exclusive of Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Ceiling Suspended Light,RFT,50,"https://s3-dms-prod.flipspaces.app/8016cc5b-5c9e-4fdc-a95c-90ae5a8d6dd7,https://s3-dms-prod.flipspaces.app/8a022cba-55bb-4c8b-90b3-b7c90022c76d",KELVIN,,,,,,,,,,2300
ORBIT RING CEILING LIGHT,Wipro,LIGHTING,,,IN,https://s3-dms-prod.flipspaces.app/c51cf89b-4acd-49ec-b6be-c399813fe427,600mm (D),,94054200,14dc7b2e-41a0-4dfa-a15a-6ad0cad1201a,TRUE,P2,CEILING LIGHT,,product,mm,,P-LIG-ARC-CEI-615104,LIGHTING ARCHITECTURAL LIGHTS CEILING LIGHT DRUM Wipro ORBIT RING CEILING LIGHT 600mm (D),Ceiling,"Sleek drum-shaped ceiling pendant light with a minimalist design. Provides warm, diffused illumination, perfect for office spaces. Modern and versatile, ideal for various interior styles
 
 
 
 Installation : Ceiling Suspended
 
 
 
 Delivery Lead Time : 3 - 5 Weeks
 
 Exclusive of Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,DRUM,NOS,,,,600,23d8ef71-7c7d-4657-b568-57716413e284,,,,,,,,10800
ORBIT DRUM CEILING LIGHT,Wipro,LIGHTING,,,IN,https://s3-dms-prod.flipspaces.app/82dbef76-69c0-477d-a5a1-f37b5e2223c8,600mm (D),,94054200,ebf5f90b-cc91-4a79-ada3-88ad067ecf66,TRUE,P2,CEILING LIGHT,,product,mm,,P-LIG-ARC-CEI-569232,LIGHTING ARCHITECTURAL LIGHTS CEILING LIGHT RING Wipro ORBIT DRUM CEILING LIGHT 600mm (D),Ceiling,"Elegant and modern, this ring-shaped ceiling pendant light features a sleek, minimalist design with energy-efficient LED illumination. Perfect for offices, it adds a sophisticated ambiance
 
 
 
 Installation : Ceiling Suspended
 
 
 
 Delivery Lead Time : 3 - 5 Weeks
 
 Exclusive of Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,RING,NOS,,,,600,8f0b525c-b8ae-4656-b496-3883de6e1ee6,,,,,,,,10800
EDGE LUME - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Edge - Cornered Rectangle,IN,https://s3-dms-prod.flipspaces.app/66a0a62a-11c9-4955-94a4-a9c7cbbb67c6,6950 (L) x 3600 (W) x 77 (H) x 50mm (T),77,94054200,1c658da6-eb52-43f1-8440-308d481754fe,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-469864,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Edge - Cornered Rectangle Clove EDGE LUME - CUSTOM MADE PROFILE LIGHT 6950 (L) x 3600 (W) x 77 (H) x 50mm (T),Ceiling,"Sleek, modern rectangular custom-made profile lights, crafted for elegant illumination. Precision-engineered with high-quality materials, they offer seamless integration, customizable sizes, and premium LED technology for sophisticated, energy-efficient lighting in any space
 
 
 
 Installation : Ceiling Suspended
 
 Diffuser Choice : Opal or Prismatic
 
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 
 Profile Color : White or Black
 
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 
 
 Delivery Lead Time : 20 days
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,3600,https://s3-dms-prod.flipspaces.app/5417e102-48af-4857-b3fc-fec988ec2a6f,KELVIN,,,DIFFUSER TYPE SWATCH,6950,mm,50,,,,1600
RECTAGLOW - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered Rectangle,IN,https://s3-dms-prod.flipspaces.app/9da48184-1282-4165-b315-589f3e9bc906,2750 (L) x 1850 (W) x 77 (H) x 50mm (T),77,94054200,fc901286-4fa5-442a-8520-86ce205c9b9e,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-129092,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered Rectangle Clove RECTAGLOW - CUSTOM MADE PROFILE LIGHT 2750 (L) x 1850 (W) x 77 (H) x 50mm (T),Ceiling,"Designed for sophistication and efficiency, custom made profile lights provide smooth, diffused lighting
 Custom made for unique spaces, they blend aesthetic appeal with practicality, creating a striking visual impact
 
 Installation : Ceiling Suspended
 Diffuser Choice : Opal or Prismatic
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 Profile Color : White or Black
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 Delivery Lead Time : 20 days
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1850,https://s3-dms-prod.flipspaces.app/558d23ea-1990-4330-bf79-fc3758d776fd,KELVIN,,,DIFFUSER TYPE SWATCH,2750,mm,50,,,,2600
RECTAGLOW - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered Rectangle,IN,https://s3-dms-prod.flipspaces.app/3fbf8fb0-77b3-4392-b232-47e8fd3b43ad,2450 (L) x 2150 (W) x 77 (H) x 50mm (T),77,94054200,cada8828-0c09-4c7e-8394-9dcb8c0585b4,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-716509,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered Rectangle Clove RECTAGLOW - CUSTOM MADE PROFILE LIGHT 2450 (L) x 2150 (W) x 77 (H) x 50mm (T),Ceiling,"Designed for sophistication and efficiency, custom-made profile lights provide smooth, diffused lighting
 Custom-made for unique spaces, they blend aesthetic appeal with practicality, creating a striking visual impact
 
 Installation : Ceiling Suspended
 Diffuser Choice : Opal or Prismatic
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 Profile Color : White or Black
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 Delivery Lead Time : 20 days
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,2150,https://s3-dms-prod.flipspaces.app/cb0a6f0c-a2e5-4208-a976-4984d4dd9520,KELVIN,,,DIFFUSER TYPE SWATCH,2450,mm,50,,,,2600
RECTAGLOW - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered Rectangle,IN,https://s3-dms-prod.flipspaces.app/51e0e2da-ea4d-4e61-8f36-18411a263103,3050 (L) x 3050 (W) x 77 (H) x 50mm (T),77,94054200,99382810-2750-4b03-bfe0-7475c34c50c7,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-216052,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered Rectangle Clove RECTAGLOW - CUSTOM MADE PROFILE LIGHT 3050 (L) x 3050 (W) x 77 (H) x 50mm (T),Ceiling,"Designed for sophistication and efficiency, custom made profile lights provide smooth, diffused lighting
 Custom made for unique spaces, they blend aesthetic appeal with practicality, creating a striking visual impact
 
 Installation : Ceiling Suspended
 Diffuser Choice : Opal or Prismatic
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 Profile Color : White or Black
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 Delivery Lead Time : 20 days
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,3050,https://s3-dms-prod.flipspaces.app/390eaa21-389a-4a4b-915e-b8125326cea0,KELVIN,,,DIFFUSER TYPE SWATCH,3050,mm,50,,,,2600
ARCHALO - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered,IN,https://s3-dms-prod.flipspaces.app/bc516d80-2d70-4bc4-aebb-297510743398,14600 (L) x 11450 (W) x 77 (H) x 50mm (T),77,94054200,cf896cf0-9319-405f-93eb-7577eb497855,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-207031,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered Clove ARCHALO - CUSTOM MADE PROFILE LIGHT 14600 (L) x 11450 (W) x 77 (H) x 50mm (T),Ceiling,"Featuring a sleek, curved design, custom profile lights offer a perfect balance of form and function
 Ideal for contemporary spaces, they provide elegant, uniform lighting with a modern touch
 
 Installation : Ceiling Suspended
 Diffuser Choice : Opal or Prismatic
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 Profile Color : White or Black
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 Delivery Lead Time : 20 days
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,11450,https://s3-dms-prod.flipspaces.app/b8042a06-cdc2-422a-8d8e-a481758472c4,KELVIN,,,DIFFUSER TYPE SWATCH,14600,mm,50,,,,3400
