boq_name,brand,category,color,config,countries,default_image,dimensions,height,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,lwhd_metric,product_color_dynamic,sku_id,sku_name,space_tag,specifications,status,sub_category,template_id,template_name,theme,type,unit,width,images,light_temperature_dynamic,diameter,model_3d,diffuser_type_dynamic,length1,t_metric,thickness,color_temperature_dynamic,model_no_dynamic,default_image_mobile,Selling Price
ELLIPSE AURA - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered,IN,https://s3-dms-prod.flipspaces.app/eeaf5112-2639-4d13-a39a-c9968d378f62,77 (H) x 50mm (T),77,94054200,d44d98e1-6b70-4573-be9c-46d3e85a14df,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-468551,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered Clove ELLIPSE AURA - CUSTOM MADE PROFILE LIGHT 77 (H) x 50mm (T),Ceiling,"Sleek and modern, custom-made profile lights blend elegance with functionality. Perfect for architectural and interior applications, they offer seamless illumination, enhancing spaces with their unique curvature and ambient glow
 
 Installation : Ceiling Suspended
 Diffuser Choice : Opal or Prismatic
 Profile Size : Width 50mm (2"") X Height 77mm (3"")
 Profile Color : White or Black
 Customization : The radius of the Edge can be modified to any size larger than 300mm (1')
 Correlated Color Temperature (CCT) : 3000K, 4000K, 5000K, 6000K
 
 Delivery Lead Time : 20 days
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,,https://s3-dms-prod.flipspaces.app/902577ef-ec1e-44a3-b196-a2614845b46c,KELVIN,,,DIFFUSER TYPE SWATCH,,mm,50,,,,3400
CURVOLUXE - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Rectangular with Soft corner,IN,https://s3-dms-prod.flipspaces.app/5e07d6db-b431-4831-871f-30147f233ebd,3000mm (L) x 1200mm (W) x 77mm (H) x 50 (T),77,94054200,f3752d77-fa6a-4ea2-8168-b6b31ea0e25b,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-753501,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Rectangular with Soft corner Clove CURVOLUXE - CUSTOM MADE PROFILE LIGHT 3000mm (L) x 1200mm (W) x 77mm (H) x 50 (T),Ceiling,"CurvoLuxe - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination. These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces. Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting.
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Customization : 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1200,"https://s3-dms-prod.flipspaces.app/1776ccbf-dd1c-4436-b8a9-fbcd1964970f,https://s3-dms-prod.flipspaces.app/de808177-050c-4db3-8871-88612523003a",KELVIN,,4df4c203-c6c8-4594-9996-9c85c726f3e5,DIFFUSER TYPE SWATCH,3000,,50,,,,2100
CURVOLUXE - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Rectangular with Soft corner,IN,https://s3-dms-prod.flipspaces.app/05c359cc-439b-4482-b1df-8c418ebb533d,2400mm (L) x 1200mm (W) x 77mm (H) x 50 (T),77,94054200,1c01c623-7ac1-432e-830c-9443c697807f,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-981418,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Rectangular with Soft corner Clove CURVOLUXE - CUSTOM MADE PROFILE LIGHT 2400mm (L) x 1200mm (W) x 77mm (H) x 50 (T),Ceiling,"CurvoLuxe - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination. These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces. Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting.
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Customization : 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1200,"https://s3-dms-prod.flipspaces.app/a5edc1c3-9e8d-4222-aa36-dbe3d2a0d278,https://s3-dms-prod.flipspaces.app/922e4144-092d-482e-8a9f-62b3e2671b87",KELVIN,,59014596-1472-426d-a5d5-7b4ec07aecd6,DIFFUSER TYPE SWATCH,2400,,50,,,,2100
CURVOLUXE - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Rectangular with Soft corner,IN,https://s3-dms-prod.flipspaces.app/a6b9dc89-77ef-4745-a2f5-00bb3653fe8a,1800mm (L) x 900mm (W) x 77mm (H) x 50 (T),77,94054200,34412c69-c2e8-41cd-a27e-28451de4842a,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-637546,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Rectangular with Soft corner Clove CURVOLUXE - CUSTOM MADE PROFILE LIGHT 1800mm (L) x 900mm (W) x 77mm (H) x 50 (T),Ceiling,"CurvoLuxe - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination.
 
 These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces.
 
 Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting.
 
 
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 
 --Profile Size : 
 
 
 
 
 
 ++Width 50mm (2"") X Height 77mm (3"")
 
 
 
 
 
 --Profile Color : 
 
 
 
 
 
 ++White or Black
 
 
 
 
 
 --Customization : 
 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 
 ++20 days
 
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,900,"https://s3-dms-prod.flipspaces.app/10ab7880-5fb8-48b1-93da-1503d7b4e4ee,https://s3-dms-prod.flipspaces.app/887972b4-6636-4014-a453-e4fcab4daac0",KELVIN,,2cd9b878-4abd-4028-b089-710a4688cfb7,DIFFUSER TYPE SWATCH,1800,,50,,,,2100
QUADRAGLINT - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered square,IN,https://s3-dms-prod.flipspaces.app/e247323e-f9e8-4378-8690-599881e29a45,1500mm (L) x 1500mm (W) x 77mm (H) x 50 (T),77,94054200,40eea23b-b40c-4e99-9744-340dbff5e24f,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-800411,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered square Clove QUADRAGLINT - CUSTOM MADE PROFILE LIGHT 1500mm (L) x 1500mm (W) x 77mm (H) x 50 (T),Ceiling,"QuadraGlint - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination. These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces. Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Customization : 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1500,"https://s3-dms-prod.flipspaces.app/ddc1e30b-3516-473f-850b-22041161ff10,https://s3-dms-prod.flipspaces.app/64495deb-b031-4e2b-8126-32737d4c1ebd",KELVIN,,0c5c91f1-d128-4282-afd7-83f992054146,DIFFUSER TYPE SWATCH,1500,,50,,,,2100
QUADRAGLINT - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered square,IN,https://s3-dms-prod.flipspaces.app/1cd0ed43-95c1-40a1-af1d-160224e0e953,1200mm (L) x 1200mm (W) x 77mm (H) x 50 (T),77,94054200,ee6ebedb-254a-426a-9f44-45af05303a5f,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-591860,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered square Clove QUADRAGLINT - CUSTOM MADE PROFILE LIGHT 1200mm (L) x 1200mm (W) x 77mm (H) x 50 (T),Ceiling,"QuadraGlint - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination. These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces. Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Customization : 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1200,"https://s3-dms-prod.flipspaces.app/d31b8a33-adb0-4e00-b639-ef25c96c1b08,https://s3-dms-prod.flipspaces.app/cdbf5a5e-efc8-4ace-a815-b2b0376960ac",KELVIN,,75c91c42-f3f4-4019-9db2-cd59a9d574a1,DIFFUSER TYPE SWATCH,1200,,50,,,,2100
QUADRAGLINT - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Smooth - Cornered square,IN,https://s3-dms-prod.flipspaces.app/dd5af24a-a8be-4e51-be58-d95b32105d60,900mm (L) x 900mm (W) x 77mm (H) x 50 (T),77,94054200,51f49dd9-ef55-4012-8dbf-481db347d88c,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-655560,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Smooth - Cornered square Clove QUADRAGLINT - CUSTOM MADE PROFILE LIGHT 900mm (L) x 900mm (W) x 77mm (H) x 50 (T),Ceiling,"QuadraGlint - Custom Made Profile Light feature a sleek, modern design with smooth, rounded corners, offering soft, diffused LED illumination.
 
 These energy efficient fixtures provide customizable lighting solutions, enhancing the ambiance of various spaces.
 
 Their minimalistic aesthetic complements a wide range of interiors, adding a sophisticated touch while ensuring even, glare free lighting
 
 
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 
 --Profile Size : 
 
 
 
 
 
 ++Width 50mm (2"") X Height 77mm (3"")
 
 
 
 
 
 --Profile Color : 
 
 
 
 
 
 ++White or Black
 
 
 
 
 
 --Customization : 
 
 
 
 
 
 ++The radius of the Edge can be modified to any size larger than 300mm (1')
 
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 
 ++20 days
 
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,900,"https://s3-dms-prod.flipspaces.app/161be05d-bc2f-42f1-91b2-a2ac1eb789a1,https://s3-dms-prod.flipspaces.app/7222bfd2-0d84-4474-89e1-6275c525adf7",KELVIN,,772231ce-27b5-4f59-823f-93afa8389d1b,DIFFUSER TYPE SWATCH,900,,50,,,,2100
RECTALUME - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Rectangular with Edge corner,IN,https://s3-dms-prod.flipspaces.app/bd9eafee-990f-40ac-bb28-e629fe64b982,3000mm (L) x 1200mm (W) x 77mm (H) x 50mm (T),77,94054200,3eb4eeb8-2b1c-4ddc-a089-0d1735126a00,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-956145,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Rectangular with Edge corner Clove RECTALUME - CUSTOM MADE PROFILE LIGHT 3000mm (L) x 1200mm (W) x 77mm (H) x 50mm (T),Ceiling,"RectaLume - Custom Made Profile Light offers a contemporary and stylish lighting option, enhancing interiors with its sharp geometry and understated design. Built from high quality aluminum, this fixture boasts a four sided structure with meticulously crafted straight edges, providing long lasting durability and a premium appearance.
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1200,"https://s3-dms-prod.flipspaces.app/9229c464-ba3d-45a8-93bc-7b688c13ca0d,https://s3-dms-prod.flipspaces.app/90827ea0-5fc4-43a8-85c8-f31618977953",KELVIN,,5ee6e5ce-311a-4244-a253-924a9fb1938e,DIFFUSER TYPE SWATCH,3000,mm,50,,,,1100
RECTALUME - CUSTOM MADE PROFILE LIGHT,Clove,LIGHTING,,Rectangular with Edge corner,IN,https://s3-dms-prod.flipspaces.app/a57d41ad-24f6-42be-8ee2-522566018b6d,2400mm (L) x 1200mm (W) x 77mm (H) x 50mm (T),77,94054200,e731bbfc-10eb-43b8-84f5-03eaafc48cba,TRUE,P1,CUSTOM MADE PROFILE LIGHT,,product,mm,OUTER FRAME COLOR SWATCH,P-LIG-ARC-CUS-183563,LIGHTING ARCHITECTURAL LIGHTS CUSTOM MADE PROFILE LIGHT Custom - Made Ceiling Suspension Light Rectangular with Edge corner Clove RECTALUME - CUSTOM MADE PROFILE LIGHT 2400mm (L) x 1200mm (W) x 77mm (H) x 50mm (T),Ceiling,"RectaLume - Custom Made Profile Light offers a contemporary and stylish lighting option, enhancing interiors with its sharp geometry and understated design. Built from high quality aluminum, this fixture boasts a four sided structure with meticulously crafted straight edges, providing long lasting durability and a premium appearance.
 
 
 
 
 
 
 
 
 
 --Installation : 
 
 
 
 
 ++Ceiling Suspended
 
 
 
 
 --Diffuser Choice : 
 
 
 
 
 ++Opal or Prismatic
 
 
 
 
 --Profile Size : 
 
 
 
 
 ++Width 50mm (2"""") X Height 77mm (3"""")
 
 
 
 
 --Profile Color : 
 
 
 
 
 ++White or Black
 
 
 
 
 --Correlated Color Temperature (CCT) : 
 
 
 
 
 ++3000K, 4000K, 5000K, 6000K
 
 
 
 
 
 
 
 
 
 --Delivery Lead Time : 
 
 
 
 
 ++20 days
 
 
 
 
 Inclusive of Lighting and Installation cost",active,ARCHITECTURAL LIGHTS,8cea196a-9ef6-467e-b05a-7557dbeddedd,P_LIGHTING_ARCHITECTURAL LIGHTS,,Custom - Made Ceiling Suspension Light,RFT,1200,"https://s3-dms-prod.flipspaces.app/529b96df-df7b-4425-981e-1e982825c070,https://s3-dms-prod.flipspaces.app/c81ef132-42f5-4c18-b884-3371b03ae914",KELVIN,,37a89d91-830d-40a5-a50c-a8aa578a64aa,DIFFUSER TYPE SWATCH,2400,mm,50,,,,1100
